direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
mads_offset_minus_1pct,1pct,-0.001128,3.946,-2.98677,0.002499375,0.001241,mads_offset_minus_1pct
mads_offset_plus_1pct,1pct,-0.000728,3.946,-2.98677,0.002499375,0.001241,mads_offset_plus_1pct
mads_lower_angle_minus_1pct,1pct,-0.000928,3.646,-2.98677,0.002499375,0.001241,mads_lower_angle_minus_1pct
mads_lower_angle_plus_1pct,1pct,-0.000928,4.246,-2.98677,0.002499375,0.001241,mads_lower_angle_plus_1pct
mads_upper_angle_minus_1pct,1pct,-0.000928,3.946,-3.28677,0.002499375,0.001241,mads_upper_angle_minus_1pct
mads_upper_angle_plus_1pct,1pct,-0.000928,3.946,-2.68677,0.002499375,0.001241,mads_upper_angle_plus_1pct
mads_upper_flare_minus_1pct,1pct,-0.000928,3.946,-2.98677,0.002499375,0.001216,mads_upper_flare_minus_1pct
mads_upper_flare_plus_1pct,1pct,-0.000928,3.946,-2.98677,0.002499375,0.001266,mads_upper_flare_plus_1pct
mads_lower_flare_minus_1pct,1pct,-0.000928,3.946,-2.98677,0.002474375,0.001241,mads_lower_flare_minus_1pct
mads_lower_flare_minus_2pct,1pct,-0.000928,3.946,-2.98677,0.002449375,0.001241,mads_lower_flare_minus_2pct
