direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
offset,minus,-0.0009480000,3.9460000000,-2.9867700000,0.0024993750,0.0012410000,mads_sr_p1_offset_minus_0p1pct
offset,plus,-0.0009080000,3.9460000000,-2.9867700000,0.0024993750,0.0012410000,mads_sr_p1_offset_plus_0p1pct
lower_angle,minus,-0.0009280000,3.9160000000,-2.9867700000,0.0024993750,0.0012410000,mads_sr_p1_lower_angle_minus_0p1pct
lower_angle,plus,-0.0009280000,3.9760000000,-2.9867700000,0.0024993750,0.0012410000,mads_sr_p1_lower_angle_plus_0p1pct
upper_angle,minus,-0.0009280000,3.9460000000,-3.0167700000,0.0024993750,0.0012410000,mads_sr_p1_upper_angle_minus_0p1pct
upper_angle,plus,-0.0009280000,3.9460000000,-2.9567700000,0.0024993750,0.0012410000,mads_sr_p1_upper_angle_plus_0p1pct
lower_flare,minus,-0.0009280000,3.9460000000,-2.9867700000,0.0024968750,0.0012410000,mads_sr_p1_lower_flare_minus_0p1pct
lower_flare,plus,-0.0009280000,3.9460000000,-2.9867700000,0.0025000000,0.0012410000,mads_sr_p1_lower_flare_plus_0p1pct_clipped
upper_flare,minus,-0.0009280000,3.9460000000,-2.9867700000,0.0024993750,0.0012385000,mads_sr_p1_upper_flare_minus_0p1pct
upper_flare,plus,-0.0009280000,3.9460000000,-2.9867700000,0.0024993750,0.0012435000,mads_sr_p1_upper_flare_plus_0p1pct
