direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
mads_tke_offset_plus_1pct,1pct,-0.002012,-1.572,-5.4,0.0024673,0.0009612,mads_tke_offset_plus_1pct
mads_tke_offset_minus_1pct,1pct,-0.002412,-1.572,-5.4,0.0024673,0.0009612,mads_tke_offset_minus_1pct
mads_tke_lower_angle_plus_1pct,1pct,-0.002212,-1.272,-5.4,0.0024673,0.0009612,mads_tke_lower_angle_plus_1pct
mads_tke_lower_angle_minus_1pct,1pct,-0.002212,-1.872,-5.4,0.0024673,0.0009612,mads_tke_lower_angle_minus_1pct
mads_tke_upper_angle_plus_1pct,1pct,-0.002212,-1.572,-5.1,0.0024673,0.0009612,mads_tke_upper_angle_plus_1pct
mads_tke_upper_angle_minus_1pct,1pct,-0.002212,-1.572,-5.7,0.0024673,0.0009612,mads_tke_upper_angle_minus_1pct
mads_tke_lower_flare_plus_1pct,1pct,-0.002212,-1.572,-5.4,0.0024923,0.0009612,mads_tke_lower_flare_plus_1pct
mads_tke_lower_flare_minus_1pct,1pct,-0.002212,-1.572,-5.4,0.0024423,0.0009612,mads_tke_lower_flare_minus_1pct
mads_tke_upper_flare_plus_1pct,1pct,-0.002212,-1.572,-5.4,0.0024673,0.0009862,mads_tke_upper_flare_plus_1pct
mads_tke_upper_flare_minus_1pct,1pct,-0.002212,-1.572,-5.4,0.0024673,0.0009362,mads_tke_upper_flare_minus_1pct
mads_tke_offset_plus_5pct,5pct,-0.001212,-1.572,-5.4,0.0024673,0.0009612,mads_tke_offset_plus_5pct
mads_tke_offset_minus_5pct,5pct,-0.003212,-1.572,-5.4,0.0024673,0.0009612,mads_tke_offset_minus_5pct
mads_tke_lower_angle_plus_5pct,5pct,-0.002212,-0.072,-5.4,0.0024673,0.0009612,mads_tke_lower_angle_plus_5pct
mads_tke_lower_angle_minus_5pct,5pct,-0.002212,-3.072,-5.4,0.0024673,0.0009612,mads_tke_lower_angle_minus_5pct
mads_tke_upper_angle_plus_5pct,5pct,-0.002212,-1.572,-3.9,0.0024673,0.0009612,mads_tke_upper_angle_plus_5pct
mads_tke_upper_angle_minus_5pct,5pct,-0.002212,-1.572,-6.9,0.0024673,0.0009612,mads_tke_upper_angle_minus_5pct
mads_tke_lower_flare_plus_5pct,5pct,-0.002212,-1.572,-5.4,0.0025,0.0009612,mads_tke_lower_flare_plus_5pct
mads_tke_lower_flare_minus_5pct,5pct,-0.002212,-1.572,-5.4,0.0023423,0.0009612,mads_tke_lower_flare_minus_5pct
mads_tke_upper_flare_plus_5pct,5pct,-0.002212,-1.572,-5.4,0.0024673,0.0010862,mads_tke_upper_flare_plus_5pct
mads_tke_upper_flare_minus_5pct,5pct,-0.002212,-1.572,-5.4,0.0024673,0.0008362,mads_tke_upper_flare_minus_5pct
