direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
offset,minus,-0.0023120000,-1.5720000000,-5.4000000000,0.0024673000,0.0009612000,mads_tke_offset_minus
offset,plus,-0.0021120000,-1.5720000000,-5.4000000000,0.0024673000,0.0009612000,mads_tke_offset_plus
lower_angle,minus,-0.0022120000,-1.7220000000,-5.4000000000,0.0024673000,0.0009612000,mads_tke_lower_angle_minus
lower_angle,plus,-0.0022120000,-1.4220000000,-5.4000000000,0.0024673000,0.0009612000,mads_tke_lower_angle_plus
upper_angle,minus,-0.0022120000,-1.5720000000,-5.5500000000,0.0024673000,0.0009612000,mads_tke_upper_angle_minus
upper_angle,plus,-0.0022120000,-1.5720000000,-5.2500000000,0.0024673000,0.0009612000,mads_tke_upper_angle_plus
lower_flare,minus,-0.0022120000,-1.5720000000,-5.4000000000,0.0024548000,0.0009612000,mads_tke_lower_flare_minus
lower_flare,plus,-0.0022120000,-1.5720000000,-5.4000000000,0.0024798000,0.0009612000,mads_tke_lower_flare_plus
upper_flare,minus,-0.0022120000,-1.5720000000,-5.4000000000,0.0024673000,0.0009487000,mads_tke_upper_flare_minus
upper_flare,plus,-0.0022120000,-1.5720000000,-5.4000000000,0.0024673000,0.0009737000,mads_tke_upper_flare_plus
