direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
offset,minus,-0.0023000000,-1.4000000000,-5.4000000000,0.0024750000,0.0009500000,mads_tke_p1_offset_minus_0p5pct
offset,plus,-0.0021000000,-1.4000000000,-5.4000000000,0.0024750000,0.0009500000,mads_tke_p1_offset_plus_0p5pct
lower_angle,minus,-0.0022000000,-1.5500000000,-5.4000000000,0.0024750000,0.0009500000,mads_tke_p1_lower_angle_minus_0p5pct
lower_angle,plus,-0.0022000000,-1.2500000000,-5.4000000000,0.0024750000,0.0009500000,mads_tke_p1_lower_angle_plus_0p5pct
upper_angle,minus,-0.0022000000,-1.4000000000,-5.5500000000,0.0024750000,0.0009500000,mads_tke_p1_upper_angle_minus_0p5pct
upper_angle,plus,-0.0022000000,-1.4000000000,-5.2500000000,0.0024750000,0.0009500000,mads_tke_p1_upper_angle_plus_0p5pct
lower_flare,minus,-0.0022000000,-1.4000000000,-5.4000000000,0.0024625000,0.0009500000,mads_tke_p1_lower_flare_minus_0p5pct
lower_flare,plus,-0.0022000000,-1.4000000000,-5.4000000000,0.0024875000,0.0009500000,mads_tke_p1_lower_flare_plus_0p5pct
upper_flare,minus,-0.0022000000,-1.4000000000,-5.4000000000,0.0024750000,0.0009375000,mads_tke_p1_upper_flare_minus_0p5pct
upper_flare,plus,-0.0022000000,-1.4000000000,-5.4000000000,0.0024750000,0.0009625000,mads_tke_p1_upper_flare_plus_0p5pct
