direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
offset,minus,-0.00485224,-1.78876,6.1525,0.00196229,0.00142384,ax_offset_minus_1
offset,plus,-0.00185224,-1.78876,6.1525,0.00196229,0.00142384,ax_offset_plus_1
lower_angle,minus,-0.00335224,-4.03876,6.1525,0.00196229,0.00142384,ax_lower_angle_minus_1
lower_angle,plus,-0.00335224,0.46124,6.1525,0.00196229,0.00142384,ax_lower_angle_plus_1
upper_angle,minus,-0.00335224,-1.78876,3.9025,0.00196229,0.00142384,ax_upper_angle_minus_1
upper_angle,plus,-0.00335224,-1.78876,8.4025,0.00196229,0.00142384,ax_upper_angle_plus_1
lower_flare,minus,-0.00335224,-1.78876,6.1525,0.00177479,0.00142384,ax_lower_flare_minus_1
lower_flare,plus,-0.00335224,-1.78876,6.1525,0.00214979,0.00142384,ax_lower_flare_plus_1
upper_flare,minus,-0.00335224,-1.78876,6.1525,0.00196229,0.00123634,ax_upper_flare_minus_1
upper_flare,plus,-0.00335224,-1.78876,6.1525,0.00196229,0.00161134,ax_upper_flare_plus_1
corner,1,-0.00185224,0.46124,8.4025,0.00214979,0.00161134,corner_1
corner,2,-0.00185224,0.46124,8.4025,0.00177479,0.00123634,corner_2
corner,3,-0.00185224,-4.03876,3.9025,0.00214979,0.00123634,corner_3
corner,4,-0.00185224,-4.03876,3.9025,0.00177479,0.00161134,corner_4
corner,5,-0.00485224,0.46124,3.9025,0.00214979,0.00123634,corner_5
corner,6,-0.00485224,0.46124,3.9025,0.00177479,0.00161134,corner_6
corner,7,-0.00485224,-4.03876,8.4025,0.00214979,0.00123634,corner_7
corner,8,-0.00485224,-4.03876,8.4025,0.00177479,0.00161134,corner_8
