direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
nm05_pair1,pos,-0.00235224,-0.28876,4.65250,0.00183729,0.00129884,nm05_pair1_pos
nm05_pair1,neg,-0.00435224,-3.28876,7.65250,0.00208729,0.00154884,nm05_pair1_neg
nm05_pair2,pos,-0.00235224,-3.28876,7.65250,0.00208729,0.00129884,nm05_pair2_pos
nm05_pair2,neg,-0.00435224,-0.28876,4.65250,0.00183729,0.00154884,nm05_pair2_neg
nm05_pair3,pos,-0.00235224,-3.28876,4.65250,0.00183729,0.00154884,nm05_pair3_pos
nm05_pair3,neg,-0.00435224,-0.28876,7.65250,0.00208729,0.00129884,nm05_pair3_neg
nm05_pair4,pos,-0.00235224,-3.28876,7.65250,0.00183729,0.00129884,nm05_pair4_pos
nm05_pair4,neg,-0.00435224,-0.28876,4.65250,0.00208729,0.00154884,nm05_pair4_neg
nm05_pair5,pos,-0.00235224,-0.28876,7.65250,0.00208729,0.00154884,nm05_pair5_pos
nm05_pair5,neg,-0.00435224,-3.28876,4.65250,0.00183729,0.00129884,nm05_pair5_neg
