direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
sr_tr025_ic,1,-0.00285224,-1.03876,5.40250,0.00189979,0.00148634,nm_sr_tr025_ic_01
sr_tr025_ic,2,-0.00385224,-1.03876,6.90250,0.00202479,0.00136134,nm_sr_tr025_ic_02
sr_tr025_ic,3,-0.00385224,-2.53876,5.40250,0.00202479,0.00136134,nm_sr_tr025_ic_03
sr_tr025_ic,4,-0.00285224,-1.03876,5.40250,0.00202479,0.00136134,nm_sr_tr025_ic_04
sr_tr025_ic,5,-0.00285224,-2.53876,5.40250,0.00202479,0.00148634,nm_sr_tr025_ic_05
sr_tr025_ic,6,-0.00285224,-2.53876,6.90250,0.00202479,0.00136134,nm_sr_tr025_ic_06
sr_tr025_ic,7,-0.00285224,-1.03876,6.90250,0.00189979,0.00136134,nm_sr_tr025_ic_07
sr_tr025_ic,8,-0.00385224,-2.53876,6.90250,0.00202479,0.00136134,nm_sr_tr025_ic_08
sr_tr025_ic,9,-0.00385224,-2.53876,5.40250,0.00189979,0.00148634,nm_sr_tr025_ic_09
sr_tr025_ic,10,-0.00385224,-1.03876,5.40250,0.00202479,0.00136134,nm_sr_tr025_ic_10
