direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
offset,minus,-0.0033722400,-1.7887600000,6.1525000000,0.0019622900,0.0014238400,nm_sr_p1_offset_minus_0p1pct
offset,plus,-0.0033322400,-1.7887600000,6.1525000000,0.0019622900,0.0014238400,nm_sr_p1_offset_plus_0p1pct
lower_angle,minus,-0.0033522400,-1.8187600000,6.1525000000,0.0019622900,0.0014238400,nm_sr_p1_lower_angle_minus_0p1pct
lower_angle,plus,-0.0033522400,-1.7587600000,6.1525000000,0.0019622900,0.0014238400,nm_sr_p1_lower_angle_plus_0p1pct
upper_angle,minus,-0.0033522400,-1.7887600000,6.1225000000,0.0019622900,0.0014238400,nm_sr_p1_upper_angle_minus_0p1pct
upper_angle,plus,-0.0033522400,-1.7887600000,6.1825000000,0.0019622900,0.0014238400,nm_sr_p1_upper_angle_plus_0p1pct
lower_flare,minus,-0.0033522400,-1.7887600000,6.1525000000,0.0019597900,0.0014238400,nm_sr_p1_lower_flare_minus_0p1pct
lower_flare,plus,-0.0033522400,-1.7887600000,6.1525000000,0.0019647900,0.0014238400,nm_sr_p1_lower_flare_plus_0p1pct
upper_flare,minus,-0.0033522400,-1.7887600000,6.1525000000,0.0019622900,0.0014213400,nm_sr_p1_upper_flare_minus_0p1pct
upper_flare,plus,-0.0033522400,-1.7887600000,6.1525000000,0.0019622900,0.0014263400,nm_sr_p1_upper_flare_plus_0p1pct
