direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
tke_offset_plus_1pct,1pct,-0.00042001,4.07413,-0.867245,0.0022396,0.0006427,tke_offset_plus_1pct
tke_offset_minus_1pct,1pct,-0.00082001,4.07413,-0.867245,0.0022396,0.0006427,tke_offset_minus_1pct
tke_lower_angle_plus_1pct,1pct,-0.00062001,4.37413,-0.867245,0.0022396,0.0006427,tke_lower_angle_plus_1pct
tke_lower_angle_minus_1pct,1pct,-0.00062001,3.77413,-0.867245,0.0022396,0.0006427,tke_lower_angle_minus_1pct
tke_upper_angle_plus_1pct,1pct,-0.00062001,4.07413,-0.567245,0.0022396,0.0006427,tke_upper_angle_plus_1pct
tke_upper_angle_minus_1pct,1pct,-0.00062001,4.07413,-1.16725,0.0022396,0.0006427,tke_upper_angle_minus_1pct
tke_lower_flare_plus_1pct,1pct,-0.00062001,4.07413,-0.867245,0.0022646,0.0006427,tke_lower_flare_plus_1pct
tke_lower_flare_minus_1pct,1pct,-0.00062001,4.07413,-0.867245,0.0022146,0.0006427,tke_lower_flare_minus_1pct
tke_upper_flare_plus_1pct,1pct,-0.00062001,4.07413,-0.867245,0.0022396,0.0006677,tke_upper_flare_plus_1pct
tke_upper_flare_minus_1pct,1pct,-0.00062001,4.07413,-0.867245,0.0022396,0.0006177,tke_upper_flare_minus_1pct
tke_offset_plus_5pct,5pct,0.00037999,4.07413,-0.867245,0.0022396,0.0006427,tke_offset_plus_5pct
tke_offset_minus_5pct,5pct,-0.00162001,4.07413,-0.867245,0.0022396,0.0006427,tke_offset_minus_5pct
tke_lower_angle_plus_5pct,5pct,-0.00062001,5.57413,-0.867245,0.0022396,0.0006427,tke_lower_angle_plus_5pct
tke_lower_angle_minus_5pct,5pct,-0.00062001,2.57413,-0.867245,0.0022396,0.0006427,tke_lower_angle_minus_5pct
tke_upper_angle_plus_5pct,5pct,-0.00062001,4.07413,0.632755,0.0022396,0.0006427,tke_upper_angle_plus_5pct
tke_upper_angle_minus_5pct,5pct,-0.00062001,4.07413,-2.36725,0.0022396,0.0006427,tke_upper_angle_minus_5pct
tke_lower_flare_plus_5pct,5pct,-0.00062001,4.07413,-0.867245,0.0023646,0.0006427,tke_lower_flare_plus_5pct
tke_lower_flare_minus_5pct,5pct,-0.00062001,4.07413,-0.867245,0.0021146,0.0006427,tke_lower_flare_minus_5pct
tke_upper_flare_plus_5pct,5pct,-0.00062001,4.07413,-0.867245,0.0022396,0.0007677,tke_upper_flare_plus_5pct
tke_upper_flare_minus_5pct,5pct,-0.00062001,4.07413,-0.867245,0.0022396,0.0005177,tke_upper_flare_minus_5pct
