direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
offset,minus,-0.000102222,4.315172968,-0.669034514,0.001896446,0.000764958,offset_minus
offset,plus,0.000297778,4.315172968,-0.669034514,0.001896446,0.000764958,offset_plus
lower_angle,minus,0.000097778,4.015172968,-0.669034514,0.001896446,0.000764958,lower_angle_minus
lower_angle,plus,0.000097778,4.615172968,-0.669034514,0.001896446,0.000764958,lower_angle_plus
upper_angle,minus,0.000097778,4.315172968,-0.969034514,0.001896446,0.000764958,upper_angle_minus
upper_angle,plus,0.000097778,4.315172968,-0.369034514,0.001896446,0.000764958,upper_angle_plus
lower_flare,minus,0.000097778,4.315172968,-0.669034514,0.001871446,0.000764958,lower_flare_minus
lower_flare,plus,0.000097778,4.315172968,-0.669034514,0.001921446,0.000764958,lower_flare_plus
upper_flare,minus,0.000097778,4.315172968,-0.669034514,0.001896446,0.000739958,upper_flare_minus
upper_flare,plus,0.000097778,4.315172968,-0.669034514,0.001896446,0.000789958,upper_flare_plus
