direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
custom,point01,-0.000141660000000002,4.071346,0.387486000000001,0.0020197905,0.0006898905,nm_tke_extra_01
custom,point02,0.000311870000000001,4.090303,-1.359927,0.00206792275,0.00068097275,nm_tke_extra_02
custom,point03,-0.00119974,5.19136256,-0.92976738,0.00201782,0.00081286,nm_tke_extra_03
custom,point04,0.0000977780000000002,4.315172968,-0.669034514,0.001896446,0.000764958,nm_tke_extra_04
custom,point05,-0.000598,4.6106945,0.102735,0.0019225,0.0007015,nm_tke_extra_05
custom,point06,-0.00067087,4.63135428,-0.27114069,0.00201891,0.00075143,nm_tke_extra_06
custom,point07,0.000085,4.0808245,-0.4862205,0.002044,0.0006855,nm_tke_extra_07
custom,point08,-0.000239000000000001,4.6392595,0.3438645,0.001988,0.000722,nm_tke_extra_08
custom,point09,-0.000603837,4.620132028,0.171463981,0.002039141,0.000692693,nm_tke_extra_09
custom,point10,0.0002535758,4.0043607848,-0.118198025400001,0.0022210306,0.0007219738,nm_tke_extra_10
custom,point11,-0.0001722121,4.3075276424,-0.00773151269999994,0.0020717653,0.0007117369,nm_tke_extra_11
