direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
tke_offset_minus_1pct,1pct,-0.0008200056,4.0741258864,-0.8672445272,0.0022396408,0.0006426584,tke_offset_minus_1pct
tke_offset_plus_1pct,1pct,-0.0004200056,4.0741258864,-0.8672445272,0.0022396408,0.0006426584,tke_offset_plus_1pct
tke_lower_angle_minus_1pct,1pct,-0.0006200056,3.7741258864,-0.8672445272,0.0022396408,0.0006426584,tke_lower_angle_minus_1pct
tke_lower_angle_plus_1pct,1pct,-0.0006200056,4.3741258864,-0.8672445272,0.0022396408,0.0006426584,tke_lower_angle_plus_1pct
tke_upper_angle_minus_1pct,1pct,-0.0006200056,4.0741258864,-1.1672445272,0.0022396408,0.0006426584,tke_upper_angle_minus_1pct
tke_upper_angle_plus_1pct,1pct,-0.0006200056,4.0741258864,-0.5672445272,0.0022396408,0.0006426584,tke_upper_angle_plus_1pct
tke_lower_flare_minus_1pct,1pct,-0.0006200056,4.0741258864,-0.8672445272,0.0022146408,0.0006426584,tke_lower_flare_minus_1pct
tke_lower_flare_plus_1pct,1pct,-0.0006200056,4.0741258864,-0.8672445272,0.0022646408,0.0006426584,tke_lower_flare_plus_1pct
tke_upper_flare_minus_1pct,1pct,-0.0006200056,4.0741258864,-0.8672445272,0.0022396408,0.0006176584,tke_upper_flare_minus_1pct
tke_upper_flare_plus_1pct,1pct,-0.0006200056,4.0741258864,-0.8672445272,0.0022396408,0.0006676584,tke_upper_flare_plus_1pct
