case_label,direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,objective,status,algorithm,run_tag,slurm_job_id,job_name,timestamp_iso8601
mads_lower_angle_plus_1pct,mads_lower_angle_plus_1pct,1pct,-0.000928,4.246,-2.98677,0.002499375,0.001241,0.012600251014500007,ok,extra_points_mads_1pct,extra_points_mads_1pct,16625,tcpc-extra-point,2025-12-18T19:53:45.397779
mads_offset_minus_1pct,mads_offset_minus_1pct,1pct,-0.001128,3.946,-2.98677,0.002499375,0.001241,0.012708664419499995,ok,extra_points_mads_1pct,extra_points_mads_1pct,16622,tcpc-extra-point,2025-12-18T19:56:02.966297
mads_offset_plus_1pct,mads_offset_plus_1pct,1pct,-0.000728,3.946,-2.98677,0.002499375,0.001241,0.012591187676500007,ok,extra_points_mads_1pct,extra_points_mads_1pct,16623,tcpc-extra-point,2025-12-18T20:01:06.766096
mads_lower_angle_minus_1pct,mads_lower_angle_minus_1pct,1pct,-0.000928,3.646,-2.98677,0.002499375,0.001241,0.012704324378,ok,extra_points_mads_1pct,extra_points_mads_1pct,16624,tcpc-extra-point,2025-12-18T20:33:43.373024
mads_upper_angle_plus_1pct,mads_upper_angle_plus_1pct,1pct,-0.000928,3.946,-2.68677,0.002499375,0.001241,0.0127663739245,ok,extra_points_mads_1pct,extra_points_mads_1pct,16627,tcpc-extra-point,2025-12-18T22:13:53.424082
mads_upper_angle_minus_1pct,mads_upper_angle_minus_1pct,1pct,-0.000928,3.946,-3.28677,0.002499375,0.001241,0.0126613830705,ok,extra_points_mads_1pct,extra_points_mads_1pct,16626,tcpc-extra-point,2025-12-18T22:17:52.945029
mads_lower_flare_minus_1pct,mads_lower_flare_minus_1pct,1pct,-0.000928,3.946,-2.98677,0.002474375,0.001241,0.012805487589,ok,extra_points_mads_1pct,extra_points_mads_1pct,16630,tcpc-extra-point,2025-12-19T02:31:47.172190
mads_upper_flare_plus_1pct,mads_upper_flare_plus_1pct,1pct,-0.000928,3.946,-2.98677,0.002499375,0.001266,0.012756554440500001,ok,extra_points_mads_1pct,extra_points_mads_1pct,16629,tcpc-extra-point,2025-12-19T02:45:52.506215
mads_lower_flare_minus_2pct,mads_lower_flare_minus_2pct,1pct,-0.000928,3.946,-2.98677,0.002449375,0.001241,0.012718503829500004,ok,extra_points_mads_1pct,extra_points_mads_1pct,16631,tcpc-extra-point,2025-12-19T02:47:43.500693
mads_upper_flare_minus_1pct,mads_upper_flare_minus_1pct,1pct,-0.000928,3.946,-2.98677,0.002499375,0.001216,0.012688126522000001,ok,extra_points_mads_1pct,extra_points_mads_1pct,16628,tcpc-extra-point,2025-12-19T04:59:54.074149
