case_label,direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,objective,status,algorithm,run_tag,slurm_job_id,job_name,timestamp_iso8601
tke_offset_plus_1pct,tke_offset_plus_1pct,1pct,-0.0004200056,4.0741258864,-0.8672445272,0.0022396408,0.0006426584,159.64185356999994,ok,extra_points_tke_1pct,extra_points_tke_1pct,16612,tcpc-extra-tke-point,2025-12-18T02:02:43.517379
tke_lower_flare_plus_1pct,tke_lower_flare_plus_1pct,1pct,-0.0006200056,4.0741258864,-0.8672445272,0.0022646408,0.0006426584,170.07571869999992,ok,extra_points_tke_1pct,extra_points_tke_1pct,16618,tcpc-extra-tke-point,2025-12-18T07:31:55.037930
tke_lower_angle_plus_1pct,tke_lower_angle_plus_1pct,1pct,-0.0006200056,4.3741258864,-0.8672445272,0.0022396408,0.0006426584,1025.8953875449997,ok,extra_points_tke_1pct,extra_points_tke_1pct,16614,tcpc-extra-tke-point,2025-12-18T07:32:53.739306
tke_lower_angle_minus_1pct,tke_lower_angle_minus_1pct,1pct,-0.0006200056,3.7741258864,-0.8672445272,0.0022396408,0.0006426584,430.3506777149997,ok,extra_points_tke_1pct,extra_points_tke_1pct,16613,tcpc-extra-tke-point,2025-12-18T09:38:51.293646
tke_upper_angle_plus_1pct,tke_upper_angle_plus_1pct,1pct,-0.0006200056,4.0741258864,-0.5672445272,0.0022396408,0.0006426584,406.87301544999974,ok,extra_points_tke_1pct,extra_points_tke_1pct,16616,tcpc-extra-tke-point,2025-12-18T11:31:54.504978
tke_offset_minus_1pct,tke_offset_minus_1pct,1pct,-0.0008200056,4.0741258864,-0.8672445272,0.0022396408,0.0006426584,442.9550316049998,ok,extra_points_tke_1pct,extra_points_tke_1pct,16611,tcpc-extra-tke-point,2025-12-18T11:46:54.154324
tke_upper_angle_minus_1pct,tke_upper_angle_minus_1pct,1pct,-0.0006200056,4.0741258864,-1.1672445272,0.0022396408,0.0006426584,431.25714782999967,ok,extra_points_tke_1pct,extra_points_tke_1pct,16615,tcpc-extra-tke-point,2025-12-18T13:00:55.545732
tke_lower_flare_minus_1pct,tke_lower_flare_minus_1pct,1pct,-0.0006200056,4.0741258864,-0.8672445272,0.0022146408,0.0006426584,420.86932543499995,ok,extra_points_tke_1pct,extra_points_tke_1pct,16617,tcpc-extra-tke-point,2025-12-18T13:02:56.380181
tke_upper_flare_minus_1pct,tke_upper_flare_minus_1pct,1pct,-0.0006200056,4.0741258864,-0.8672445272,0.0022396408,0.0006176584,348.6895799449997,ok,extra_points_tke_1pct,extra_points_tke_1pct,16619,tcpc-extra-tke-point,2025-12-18T18:30:12.723724
tke_upper_flare_plus_1pct,tke_upper_flare_plus_1pct,1pct,-0.0006200056,4.0741258864,-0.8672445272,0.0022396408,0.0006676584,167.19772507999988,ok,extra_points_tke_1pct,extra_points_tke_1pct,16620,tcpc-extra-tke-point,2025-12-18T18:59:10.978277
