eval_id,objective,offset,lower_angle,upper_angle,lower_flare,upper_flare,timestamp_iso8601
1,0.0126002510145,-0.000928,4.246,-2.98677,0.002499375,0.001241,2025-12-18T19:53:45.354563
2,0.0127086644194999,-0.001128,3.946,-2.98677,0.002499375,0.001241,2025-12-18T19:56:02.780857
3,0.0125911876765,-0.000728,3.946,-2.98677,0.002499375,0.001241,2025-12-18T20:01:02.779059
4,0.012704324378,-0.000928,3.646,-2.98677,0.002499375,0.001241,2025-12-18T20:33:43.325043
5,0.0127663739245,-0.000928,3.946,-2.68677,0.002499375,0.001241,2025-12-18T22:13:53.229677
6,0.0126613830705,-0.000928,3.946,-3.28677,0.002499375,0.001241,2025-12-18T22:17:52.753923
7,0.012805487589,-0.000928,3.946,-2.98677,0.002474375,0.001241,2025-12-19T02:31:46.997424
8,0.0127565544405,-0.000928,3.946,-2.98677,0.002499375,0.001266,2025-12-19T02:45:52.336862
9,0.0127185038295,-0.000928,3.946,-2.98677,0.002449375,0.001241,2025-12-19T02:47:43.327404
10,0.012688126522,-0.000928,3.946,-2.98677,0.002499375,0.001216,2025-12-19T04:59:53.905034
