eval_id,objective,offset,lower_angle,upper_angle,lower_flare,upper_flare,timestamp_iso8601
1,225.00267036999983,0.0009999999999999,4.0,-3.0,0.00225,0.001,2025-12-02T16:23:57.919169
2,440.8498405299996,0.0009999999999999,4.0,12.0,0.001,0.001,2025-12-02T20:31:57.013901
3,491.8008040149998,0.0009999999999999,4.0,-3.0,0.001,0.00225,2025-12-02T21:12:00.138882
4,403.5369479699997,0.0009999999999999,4.0,-3.0,0.001,0.001,2025-12-02T21:53:00.393090
5,356.3675611149996,0.0059999999999999,5.5,-1.5,0.001125,0.001125,2025-12-03T03:22:29.941191
6,977.4490868749994,-0.004,8.499999999999996,1.5,0.001375,0.001375,2025-12-03T07:09:32.097333
7,454.7238585949998,-0.009,9.999999999999996,3.0,0.0015,0.0015,2025-12-03T08:07:33.525656
8,444.2882234049994,0.0,12.1,-0.8999999999999986,0.001175,0.001175,2025-12-03T13:42:11.211690
9,486.72942163499977,-0.002,-1.6999999999999993,3.3000000000000043,0.001525,0.001525,2025-12-03T18:01:11.783621
10,520.5059392599996,-0.0029999999999999,-8.599999999999998,5.400000000000002,0.0017,0.0017,2025-12-03T18:41:07.889744
11,414.8028387049998,-0.0041999999999999,4.119999999999997,7.920000000000005,0.00191,0.00016,2025-12-04T00:23:38.916227
12,426.2902207749998,-0.0002999999999999,4.029999999999998,-0.2699999999999978,0.0012275,0.0017275,2025-12-04T05:08:41.245835
13,438.2894787299996,-0.0028999999999999,4.09,5.190000000000001,0.0016825,0.0006825,2025-12-04T06:02:36.757275
14,425.80206194999977,-0.0020199999999999,1.7620000000000005,3.3420000000000023,0.0015285,0.0012285,2025-12-04T11:33:07.747311
15,466.3566187699998,-0.00208,12.148,3.4679999999999964,0.0015389999999999,0.000339,2025-12-04T16:25:10.056652
16,331.3693066499999,-0.0020599999999999,8.686000000000003,3.4259999999999984,0.0015355,0.0006355,2025-12-04T17:12:09.961008
17,383.4216165099997,0.0076959999999999,-0.077599999999995,3.938400000000005,0.0015782,1.820000000000016e-05,2025-12-04T22:46:40.730762
18,405.4099841499997,0.0035219999999999,2.441800000000004,3.7038000000000046,0.00155865,0.00038865,2025-12-05T03:40:43.043146
19,414.1735795249998,-0.004826,7.480599999999999,3.2346000000000004,0.00151955,0.00112955,2025-12-05T04:25:43.341090
