eval_id,objective,offset,lower_angle,upper_angle,lower_flare,upper_flare,timestamp_iso8601
1,0.0169916364555,0.0009999999999999992,4.0,-3.0,0.001,0.001,2025-11-21T00:21:08.496280
4,0.01628387482,0.0010000000000000009,6.999999999999897,-3.0,0.001,0.001,2025-11-21T07:06:36.640128
3,0.013590203571999993,-0.0009999999999999992,3.9999999999999005,-3.0,0.00125,0.001,2025-11-21T07:49:36.743100
5,0.016427650740499997,0.003000000000000001,3.9999999999999005,0.0,0.001,0.001,2025-11-21T08:30:37.267074
2,0.0176054994555,0.0010000000000000009,6.999999999999897,0.0,0.00075,0.00125,2025-11-21T10:25:38.379711
6,0.013189601653500005,-0.007,3.9999999999995985,-3.0,0.002,0.001,2025-11-21T18:02:04.366257
7,0.013260145352,-0.01,3.9999999999986997,-3.0,0.0025,0.001,2025-11-22T01:34:35.619618
8,0.0128112610495,-0.0009999999999999992,3.9999999999986997,-3.0,0.0025,0.001,2025-11-22T09:09:01.599216
9,0.013551860482000007,0.01,3.9999999999959996,-3.0,0.0025,0.001,2025-11-22T16:41:27.391284
10,0.013693113986500005,-0.009000000000000001,3.9999999999959996,-3.0,0.0015,0.001,2025-11-23T00:24:53.287556
11,0.012900051708500001,-0.003000000000000001,0.9999999999971987,-6.0,0.0025,0.00075,2025-11-23T08:01:19.237685
14,0.013511074976999994,0.01,0.9999999999987015,-3.0,0.0025,0.001,2025-11-23T15:31:56.686527
12,0.012677623740499999,-0.0009999999999999992,3.9999999999986997,-3.0,0.0025,0.00125,2025-11-23T15:36:56.484603
13,0.012751959117500005,-0.003000000000000001,6.9999999999987,-6.0,0.0025,0.001,2025-11-23T16:12:57.081197
15,0.013405228175499995,-0.01,0.9999999999987015,0.0,0.0025,0.001,2025-11-23T18:06:03.732341
16,0.016407354348,-0.0009999999999999992,3.9999999999986997,-3.0,0.0025,0.002,2025-11-24T02:15:36.052914
17,0.014859293247499997,-0.003000000000000001,6.999999999999897,0.0,0.002,0.00125,2025-11-24T10:25:02.635805
18,0.015293390291499991,0.004999999999999999,3.9999999999984013,-6.0,0.0022500000000000003,0.001,2025-11-24T19:09:36.086037
19,0.013144734315999999,-0.007,3.9999999999986997,-3.0,0.0025,0.001,2025-11-25T03:45:13.533515
20,0.012682898152000001,0.0010000000000000009,3.9999999999972005,-6.0,0.0025,0.001,2025-11-25T11:56:40.955213
24,0.014271320897000006,-0.003000000000000001,3.9999999999986997,-3.0,0.0025,0.0017499999999999998,2025-11-25T18:50:10.248205
23,0.013304074676999999,-0.01,0.9999999999987015,-3.0,0.0025,0.00125,2025-11-25T19:25:10.156509
21,0.014774825452,-0.003000000000000001,3.9999999999986997,0.0,0.0025,0.00125,2025-11-25T20:14:10.651226
22,0.017786351762000004,-0.0009999999999999992,3.9999999999986997,-3.0,0.0,0.00125,2025-11-25T22:00:11.802880
25,0.013402110525000005,-0.01,6.9999999999987,-3.0,0.0022500000000000003,0.001,2025-11-26T04:22:37.144773
26,0.014389188222000006,0.01,6.9999999999987,-6.0,0.0025,0.00125,2025-11-26T12:48:06.020948
27,0.016476385958999997,-0.005,0.9999999999987015,-6.0,0.0,0.0017499999999999998,2025-11-26T20:59:33.816085
28,0.0128720141735,0.004999999999999999,3.9999999999966,-6.6,0.0025,0.001,2025-11-27T03:48:59.105889
30,0.012849732965,-0.005,3.6399999999987003,-2.1899999999999995,0.0025,0.00125,2025-11-27T07:30:17.990617
32,0.012772125620999998,0.0010000000000000009,2.4999999999986997,-3.5700000000000003,0.0025,0.00125,2025-11-27T07:33:17.251123
29,0.014124341970500004,0.004999999999999999,4.6599999999987,-4.5,0.0025,0.001,2025-11-27T10:41:18.641521
31,0.013412115222499995,-0.003000000000000001,5.4999999999987,-2.4299999999999997,0.0022500000000000003,0.00125,2025-11-27T11:22:19.017042
