eval_id,objective,offset,lower_angle,upper_angle,lower_flare,upper_flare,timestamp_iso8601
1,309.6534529049999,-0.001,-0.9699999999999998,-5.04,0.00225,0.00102,2025-12-23T00:45:20.321964
5,207.54439063499993,-0.0015999999999999999,-0.969999999999982,-5.04,0.0023250000000000024,0.0010199999999999999,2025-12-23T13:24:17.138254
3,281.8010516649998,-0.0004000000000000002,-0.969999999999982,-4.68,0.0022500000000000024,0.0010199999999999999,2025-12-23T13:26:17.237848
4,237.71526320499981,-0.001,-0.5399999999999823,-5.04,0.0022500000000000024,0.0010199999999999999,2025-12-23T13:33:17.269961
2,746.1440389949996,-0.001,-0.5399999999999823,-4.68,0.0021750000000000025,0.0010899999999999998,2025-12-23T13:34:17.488446
6,348.9034690949999,-0.0034000000000000002,-0.9699999999999394,-5.04,0.0025,0.0010199999999999999,2025-12-24T02:17:06.677377
7,332.7287668999999,-0.0022,-0.969999999999982,-5.04,0.002400000000000003,0.0010199999999999999,2025-12-24T14:43:00.211899
8,181.83933952999996,-0.0022,-1.3999999999999821,-5.4,0.0024750000000000024,0.0009499999999999999,2025-12-25T03:16:53.324660
9,185.87588949999994,-0.0022,-1.3999999999999821,-5.4,0.0025,0.0008799999999999999,2025-12-25T16:00:48.407501
10,758.7102693799995,0.0008000000000000004,-0.9700000000000251,-5.04,0.0021000000000000025,0.0010199999999999999,2025-12-26T04:39:50.053951
11,234.71189976499997,-0.004,-2.689999999999982,-6.48,0.0025,0.00074,2025-12-26T17:13:43.140389
12,216.0226582549999,0.0008000000000000004,-2.689999999999982,-4.68,0.0024750000000000024,0.00074,2025-12-27T05:54:35.815140
13,220.62914314999998,-0.0028,-3.119999999999982,-5.76,0.0025,0.00074,2025-12-27T18:32:28.217693
14,316.780070975,0.0008000000000000004,-0.969999999999982,-3.96,0.002400000000000003,0.0010199999999999999,2025-12-28T07:07:22.028263
15,230.1745647649999,-0.0028,-2.259999999999982,-5.76,0.0024750000000000024,0.00081,2025-12-28T19:46:19.979527
16,314.56916939499985,-0.0004000000000000002,-1.3999999999999821,-4.68,0.002400000000000003,0.0009499999999999999,2025-12-29T08:20:12.577227
